unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.61387E+12,21/2/2021 0:00,ETH/USDT,1912.9,1976.31,1883.01,1933.53,756568.1974,1467970937,895138
1.61378E+12,20/2/2021 0:00,ETH/USDT,1955.46,2042.34,1803.14,1913,1261315.813,2493836246,1329067
1.61369E+12,19/2/2021 0:00,ETH/USDT,1938.91,1972.82,1891,1955,793404.4115,1533991632,988320
1.61361E+12,18/2/2021 0:00,ETH/USDT,1849.7,1950.5,1849.69,1939.61,937227.1019,1787383532,1053661
1.61352E+12,17/2/2021 0:00,ETH/USDT,1781.99,1855,1733.01,1849.88,795711.6331,1437546813,862461
1.61343E+12,16/2/2021 0:00,ETH/USDT,1779.33,1827.28,1724,1781.99,817493.4751,1455884892,826125
1.61335E+12,15/2/2021 0:00,ETH/USDT,1800.03,1835.72,1655.67,1779.25,1053474.579,1860338372,1086589
1.61326E+12,14/2/2021 0:00,ETH/USDT,1815.25,1850,1784.11,1800.42,675261.7787,1230043295,714827
1.61317E+12,13/2/2021 0:00,ETH/USDT,1840.24,1871.72,1765,1814.96,767589.0729,1395594093,853189
1.61309E+12,12/2/2021 0:00,ETH/USDT,1785.83,1864.88,1739.88,1840.26,909600.2065,1635426868,996495
1.613E+12,11/2/2021 0:00,ETH/USDT,1740.76,1819,1703.44,1785.62,735079.827,1301681872,935602
1.61292E+12,10/2/2021 0:00,ETH/USDT,1769.14,1837.86,1680,1740.78,1219932.255,2149076144,1279140
1.61283E+12,9/2/2021 0:00,ETH/USDT,1749.68,1821.88,1708.49,1769.13,1185071.896,2080818892,1173421
1.61274E+12,8/2/2021 0:00,ETH/USDT,1611.46,1775.57,1563.89,1750.15,1339777.095,2255426926,1372788
1.61266E+12,7/2/2021 0:00,ETH/USDT,1676.35,1693,1490.46,1611.62,1281734.868,2044371589,1263737
1.61257E+12,6/2/2021 0:00,ETH/USDT,1718.95,1743.67,1642.94,1676.35,1149808.331,1940057858,1152167
1.61248E+12,5/2/2021 0:00,ETH/USDT,1595.53,1760.49,1591,1719.19,1194123.299,2011685911,1326415
1.6124E+12,4/2/2021 0:00,ETH/USDT,1664.67,1695.2,1554.44,1595.67,1646502.33,2693099602,1507993
1.61231E+12,3/2/2021 0:00,ETH/USDT,1511.93,1669.35,1508.39,1664.49,1535869.888,2418887042,1384979
1.61222E+12,2/2/2021 0:00,ETH/USDT,1374.09,1547.9,1360.28,1511.87,1944227.999,2821617332,1614541
1.61214E+12,1/2/2021 0:00,ETH/USDT,1312.45,1377.99,1269.99,1374.17,1096397.919,1449463767,915584
1.61205E+12,31/1/2021 0:00,ETH/USDT,1378.04,1380.74,1281.12,1312.55,958704.8557,1276842260,828176
1.61196E+12,30/1/2021 0:00,ETH/USDT,1379.56,1406,1326.41,1378.05,1040042.236,1414231403,1013174
1.61188E+12,29/1/2021 0:00,ETH/USDT,1329.44,1436.9,1285.35,1379.5,2253963.187,3077996801,1714076
1.61179E+12,28/1/2021 0:00,ETH/USDT,1238.93,1360,1217.23,1329.69,1365269.72,1790490878,1275024
1.61171E+12,27/1/2021 0:00,ETH/USDT,1366.54,1373.9,1207,1239.03,2009772.084,2554649901,1737296
1.61162E+12,26/1/2021 0:00,ETH/USDT,1317.6,1378.49,1244.56,1365.97,1682923.658,2216751668,1423178
1.61153E+12,25/1/2021 0:00,ETH/USDT,1392.19,1475,1293.69,1317.88,1885441.313,2644267237,1661512
1.61145E+12,24/1/2021 0:00,ETH/USDT,1233.46,1398.83,1220,1392.51,1510879.538,1996765628,1313986
1.61136E+12,23/1/2021 0:00,ETH/USDT,1232.61,1272.44,1195.9,1233.6,1009545.083,1250575692,932871
1.61127E+12,22/1/2021 0:00,ETH/USDT,1111.98,1273.79,1042.31,1232.62,2020593.217,2360267831,1652010
1.61119E+12,21/1/2021 0:00,ETH/USDT,1376.72,1390,1086,1110.96,2254164.804,2787012515,1823458
1.6111E+12,20/1/2021 0:00,ETH/USDT,1365.36,1407.93,1235.42,1376.99,2219137.621,2931656296,1852253
1.61101E+12,19/1/2021 0:00,ETH/USDT,1258.52,1438.3,1251.49,1365.36,2278852.558,3120980924,1840481
1.61093E+12,18/1/2021 0:00,ETH/USDT,1232.5,1260.75,1182.58,1258.45,998050.1107,1223628041,940604
1.61084E+12,17/1/2021 0:00,ETH/USDT,1227.83,1269.02,1165,1232.45,1317285.006,1606424364,1121278
1.61076E+12,16/1/2021 0:00,ETH/USDT,1168.48,1298,1151.77,1227.83,1575384.438,1927453175,1252473
1.61067E+12,15/1/2021 0:00,ETH/USDT,1231.89,1256.98,1069.42,1168.53,1944038.837,2302781119,1519266
1.61058E+12,14/1/2021 0:00,ETH/USDT,1129.79,1247.55,1086.7,1231.62,1555737.386,1825860914,1255769
1.6105E+12,13/1/2021 0:00,ETH/USDT,1050.36,1137.65,987.48,1129.89,1564202.391,1664178969,1123983
1.61041E+12,12/1/2021 0:00,ETH/USDT,1087,1150.02,1006.33,1050.16,2302645.341,2491067093,1516625
1.61032E+12,11/1/2021 0:00,ETH/USDT,1254.24,1260,915,1087.01,4068784.657,4290593990,2557613
1.61024E+12,10/1/2021 0:00,ETH/USDT,1276,1348.33,1170,1254.25,1951179.35,2517791852,1437486
1.61015E+12,9/1/2021 0:00,ETH/USDT,1216.72,1304.37,1171.36,1276,1448871.115,1780137376,1131871
1.61006E+12,8/1/2021 0:00,ETH/USDT,1224.86,1273.75,1065,1216.93,2131172.923,2543427453,1718817
1.60998E+12,7/1/2021 0:00,ETH/USDT,1208.75,1289,1131,1224.87,1972922.821,2406219891,1402699
1.60989E+12,6/1/2021 0:00,ETH/USDT,1100.16,1213,1057.26,1208.42,2390136.593,2725262121,1600888
1.6098E+12,5/1/2021 0:00,ETH/USDT,1041.45,1134.6,974.45,1099.56,2706995.675,2857050280,1960503
1.60972E+12,4/1/2021 0:00,ETH/USDT,978.33,1162.97,890,1041.43,4245010.94,4303634203,2477862
1.60963E+12,3/1/2021 0:00,ETH/USDT,774.44,1011.07,768.71,978.28,2813603.886,2522411860,1636501
1.60955E+12,2/1/2021 0:00,ETH/USDT,728.91,787.69,714.91,774.56,1352618.577,1024472183,824134
1.60946E+12,1/1/2021 0:00,ETH/USDT,736.42,749,714.29,728.91,675114.0933,496072043.8,483671
1.60937E+12,31/12/2020 0:00,ETH/USDT,752.17,755.74,722,736.42,863375.5798,638503822.4,623216
1.60929E+12,30/12/2020 0:00,ETH/USDT,732,758.74,716.62,752.17,1008574.099,743546676.8,692405
1.6092E+12,29/12/2020 0:00,ETH/USDT,730.4,740.78,689.2,732,1106876.359,794643540.5,820504
1.60911E+12,28/12/2020 0:00,ETH/USDT,685.1,748.09,681.04,730.41,1627154.393,1180438285,961277
1.60903E+12,27/12/2020 0:00,ETH/USDT,637.44,717.13,625,685.11,1859968.15,1247547957,1047001
1.60894E+12,26/12/2020 0:00,ETH/USDT,626.78,652.91,615.26,637.44,958585.5065,607664782,541191
1.60885E+12,25/12/2020 0:00,ETH/USDT,612.31,634.24,604.28,626.82,798009.6292,494089140.9,468979
1.60877E+12,24/12/2020 0:00,ETH/USDT,585.48,615.02,565.43,612.31,886335.8633,519843557,571510
1.60868E+12,23/12/2020 0:00,ETH/USDT,636.41,638.44,551.28,585.56,1208807.365,733443630.4,733896
1.6086E+12,22/12/2020 0:00,ETH/USDT,607.68,637.73,588,636.45,918851.2565,563872004.6,522945
1.60851E+12,21/12/2020 0:00,ETH/USDT,638.1,648,595.9,607.58,843251.1657,524208673.9,521589
1.60842E+12,20/12/2020 0:00,ETH/USDT,658.05,661.39,621.01,638.18,823958.2284,533109285.7,505181
1.60834E+12,19/12/2020 0:00,ETH/USDT,653.76,669.95,645.42,658.03,858803.8846,564029933.3,562281
1.60825E+12,18/12/2020 0:00,ETH/USDT,642.71,664.61,629.4,653.85,1000012.98,646217791.2,554335
1.60816E+12,17/12/2020 0:00,ETH/USDT,637.18,676.25,625.76,642.7,2006130.02,1307445033,974504
1.60808E+12,16/12/2020 0:00,ETH/USDT,588.78,640,580.71,637.18,1185588.051,725009244.4,589563
1.60799E+12,15/12/2020 0:00,ETH/USDT,586.29,597.2,578.58,588.64,569270.5201,334543178.4,329161
1.6079E+12,14/12/2020 0:00,ETH/USDT,590.81,591.48,575.6,586.29,493012.0271,288110224,272746
1.60782E+12,13/12/2020 0:00,ETH/USDT,568.09,595,563.22,590.7,657794.4616,383072560.3,359525
1.60773E+12,12/12/2020 0:00,ETH/USDT,544.46,574,543.1,568.04,573913.9531,320867352.5,321104
1.60764E+12,11/12/2020 0:00,ETH/USDT,558.99,560.8,535.5,544.43,768921.7832,419607430.4,400545
1.60756E+12,10/12/2020 0:00,ETH/USDT,573.2,575.7,548.11,558.99,608414.5147,341352126.3,376548
1.60747E+12,9/12/2020 0:00,ETH/USDT,554.92,578.08,530.43,573.09,997192.1674,555142155.9,535975
1.60739E+12,8/12/2020 0:00,ETH/USDT,591.27,595,549.22,554.94,804443.0072,461781203.2,422868
1.6073E+12,7/12/2020 0:00,ETH/USDT,601.59,603.15,584.22,591.28,498329.3759,295598087,347036
1.60721E+12,6/12/2020 0:00,ETH/USDT,596.82,607.5,583,601.54,602496.9634,359236400.3,363661
1.60713E+12,5/12/2020 0:00,ETH/USDT,567.24,597.11,560.88,596.8,701567.9556,410382624.7,389600
1.60704E+12,4/12/2020 0:00,ETH/USDT,615.84,620,565.82,567.24,1052452.787,624543865.9,556641
1.60695E+12,3/12/2020 0:00,ETH/USDT,596.88,623.44,585.82,615.85,935687.9172,568024618.9,513555
1.60687E+12,2/12/2020 0:00,ETH/USDT,585.26,604.93,575,596.89,1069538.656,632858653.2,604591
1.60678E+12,1/12/2020 0:00,ETH/USDT,616.65,635.7,560,585.26,2163875.814,1300668283,1018862
1.60669E+12,30/11/2020 0:00,ETH/USDT,576.32,616.85,570.07,616.66,1501989.454,895373784.8,717837
1.60661E+12,29/11/2020 0:00,ETH/USDT,537.5,576.9,530.32,576.3,855276.4666,471629262.2,454026
1.60652E+12,28/11/2020 0:00,ETH/USDT,518.59,547.94,506.59,537.52,900508.6143,475169074.7,456028
1.60644E+12,27/11/2020 0:00,ETH/USDT,519.83,530.62,493.72,518.68,1088064.281,558985308.9,578800
1.60635E+12,26/11/2020 0:00,ETH/USDT,569.38,577.14,481,519.83,2683460.742,1386030255,1259051
1.60626E+12,25/11/2020 0:00,ETH/USDT,604.98,606,553.83,569.5,1219440.027,716972340.7,657386
1.60618E+12,24/11/2020 0:00,ETH/USDT,608.58,623,585,604.97,1606450.492,976376501.3,838352
1.60609E+12,23/11/2020 0:00,ETH/USDT,560.03,610.85,550.12,608.58,2076008.848,1218150934,896026
